                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70894,                 1.5998,                0.59094,                 1.0661,                0.90705,                0.89542,                0.94845,                0.78348,                0.47157,                0.47911,                 0.4766,                0.35125,                0.61392,                 1.3609,                0.46715,                0.95017,               0.006535,               0.006535,               0.006535
                     37,                0.70918,                 1.6035,                0.58935,                 1.0661,                0.90879,                 0.8951,                 0.9489,                 0.7842,                0.47259,                0.47939,                0.47812,                0.35163,                0.61299,                 1.3603,                 0.4659,                0.94926,               0.006436,               0.006436,               0.006436
                     38,                0.70656,                  1.594,                0.58806,                 1.0656,                 0.9094,                0.89496,                0.94892,                0.78491,                0.47361,                 0.4792,                0.47814,                 0.3516,                0.61203,                 1.3595,                0.46496,                0.94905,               0.006337,               0.006337,               0.006337
                     39,                0.70827,                 1.5977,                 0.5886,                 1.0665,                0.91018,                0.89482,                0.94923,                0.78551,                0.47344,                0.47946,                0.47699,                0.35156,                0.61115,                 1.3586,                0.46396,                0.94832,               0.006238,               0.006238,               0.006238
                     40,                0.70552,                 1.5944,                0.58548,                 1.0659,                 0.9103,                0.89472,                0.94936,                0.78595,                0.47297,                0.48157,                0.47835,                0.35204,                0.61027,                 1.3568,                0.46319,                0.94786,               0.006139,               0.006139,               0.006139
                     41,                0.70287,                  1.587,                0.58386,                 1.0649,                   0.91,                0.89461,                0.94949,                0.78617,                0.47351,                 0.4809,                0.47711,                0.35198,                0.60971,                 1.3557,                0.46259,                0.94785,                0.00604,                0.00604,                0.00604
                     42,                0.70277,                  1.588,                0.58467,                 1.0635,                0.90998,                0.89565,                0.94948,                0.78676,                0.47416,                0.48188,                0.47851,                0.35224,                0.60915,                 1.3542,                0.46171,                0.94753,               0.005941,               0.005941,               0.005941
                     43,                0.70034,                 1.5837,                0.58337,                 1.0631,                0.91092,                0.89536,                0.94963,                0.78731,                0.47435,                0.48189,                0.47869,                0.35228,                 0.6084,                 1.3538,                0.46102,                0.94707,               0.005842,               0.005842,               0.005842
                     44,                0.69862,                 1.5798,                0.58069,                 1.0628,                0.91033,                0.89615,                0.94985,                 0.7878,                0.47451,                0.48218,                0.47755,                0.35232,                0.60769,                 1.3528,                0.45997,                0.94666,               0.005743,               0.005743,               0.005743
                     45,                 0.6983,                 1.5768,                0.57867,                 1.0621,                0.91004,                0.89646,                0.95001,                0.78815,                0.47557,                0.48266,                0.47789,                0.35242,                0.60694,                 1.3525,                0.45923,                0.94612,               0.005644,               0.005644,               0.005644
